"KOD","fullTheta"
"Z18001",-1.3988863721429
"Z18002",-3.75864543546819
"Z18003",-1.61680727601263
"Z18004",-0.998310924330044
"Z18005",-0.404948117059458
"Z18006",-1.01089985232386
"Z18008",-1.66615977826333
"Z18009",-1.9176552514862
"Z18010",-0.99609749291599
"Z18011",-1.27310516336996
"Z18012",0.618283597081227
"Z18013",0.0716182941655648
"Z18015",-0.400061664693978
"Z18016",-2.19855532855487
"Z18017",-1.64315955294012
"Z18018",-0.200005208660958
"Z18019",-0.803042635090892
"Z18020",-0.399998889526564
"Z18021",-1.77070799313153
"Z18022",-2.93047901041727
"Z18023",-0.997413562282838
"Z18024",-0.380250260447078
"Z18025",-2.62429131316229
"Z18026",-0.901465993535203
"Z18027",2.23544459296354
"Z18028",4.935876472426e-10
"Z18029",-0.221092502281075
"Z18030",-0.400085880461377
"Z18031",-0.588171120679251
"Z18032",-1.42173473019351
"Z18033",-1.34947019555996
"Z18034",-1.25542960287085
"Z18035",-0.60458380128702
"Z18036",-1.25589847213605
"Z18037",-0.199990925797325
"Z18038",-0.999999381785658
"Z18039",-1.18543645420728
"Z18040",-1.34349063888886
"Z18041",-0.72732492958043
"Z18042",-1.67279505004526
"Z18043",-0.996500126995152
"Z18044",-1.53129211741763
"Z18045",-0.893460094229483
"Z18046",-0.792681866468087
"Z18048",-0.598495590908185
"Z18049",1.00003944925989
"Z18050",-0.000615183359556772
"Z18051",-1.60401667483478
"Z18052",-0.399060639772223
"Z18053",-1.08484908768692
"Z18054",-0.39999910443828
"Z18055",0.200001884972521
"Z18056",-2.63627857570726
"Z18057",-0.989319347851043
"Z18058",-1.95143938376096
"Z18059",-1.41345714855965
"Z18060",-1.4222498972208
"Z18061",-2.7976523918355
"Z18062",0.184871403932668
"Z18063",-1.32545857932556
"Z18064",1.5870433616997
"Z18065",2.2629466760721
"Z18066",-0.821768197050197
"Z18067",-1.05784211945778
"Z18068",-0.600583358023759
"Z18069",-2.08644941807859
"Z18070",-0.247597015789637
"Z18071",-0.400119728260435
"Z18072",-0.399807095468568
"Z18073",-0.199999980065826
"Z18074",-0.211297752809214
"Z18075",-1.49905471100958
"Z18076",-0.40216520851045
"Z18077",-1.19913247680127
"Z18078",0.000210309307472201
"Z18079",-0.792875391584479
"Z18080",-1.14421088652585
"Z18081",0.199999999061103
"Z18082",-1.6483531725507
"Z18083",-1.25716843277872
"Z18084",-0.400003376245604
"Z18085",-1.45254571228138
"Z18087",-1.65980371430525
"Z18088",-1.57075067797974
"Z18089",-0.399954810784134
"Z18090",-0.0444070354887237
"Z18091",-0.59871927616344
"Z18092",-1.10741697102249
"Z18093",-0.990654091126671
"Z18094",-0.599883728691235
"Z18095",-0.200000126024927
"Z18096",-0.59367584742509
"Z18097",-1.00705437679596
"Z18098",-0.344745076247337
"Z18099",-0.993619372047705
"Z18100",-1.00056202225232
"Z18101",-0.200000006003722
"Z18102",-0.598950020570762
"Z18103",-0.799305847257636
"Z18104",-0.200000191264176
"Z18105",-0.562135290531247
"Z18106",-0.994787214626805
"Z18107",-2.53090416171645
"Z19001",-0.199999997939263
"Z19002",-2.57681046436856
"Z19003",-0.398430224790732
"Z19004",-0.200000202977704
"Z19005",-3.2524364954074
"Z19006",-0.782997461960309
"Z19007",-0.400097736802628
"Z19008",-1.89649074650774
"Z19009",-0.400000007061344
"Z19010",-1.92222181767661
"Z19011",-2.27735348487363
"Z19012",-2.12764860041063
"Z19013",-0.568240652148296
"Z19014",-1.00315428292544
"Z19015",-0.791119474298367
"Z19016",-0.797861739150772
"Z19017",-0.399534926864922
"Z19018",-2.40470320000448
"Z19019",-0.399958135286776
"Z19021",-1.8981044268357
"Z19022",-0.000199785391686124
"Z19023",0.201731631698379
"Z19024",-1.27786876432248
"Z19025",-0.991340152122372
"Z19026",0.99997214270521
"Z19027",-2.00628140994545
"Z19028",-1.85970764323379
"Z19029",-0.800015881698409
"Z19030",-0.402259197403612
"Z19031",-0.587602902763834
"Z19032",-1.01201667954118
"Z19033",-0.630623159901474
"Z19034",-0.60071745660786
"Z19035",-0.802542421612631
"Z19036",0.690151948455126
