"Category"	"Percent of items used"
"Z16.czasowniki"	0.310143665650849
"Z07.czêœci_cia³a"	0.116656508489334
"Z08.w_domu"	0.0722159338267305
"Z10.na_dworze"	0.049612538093165
"Z04.pokarmy"	0.0445798868088811
"Z20.zaimki_osobowe"	0.043656943839791
"Z19.okreœlenia_miary"	0.0416020896821942
"Z05.zabawki"	0.0358728776665216
"Z18.okreœlenia_czasu"	0.0344623421854593
"Z09.przedmioty_domowego_u¿ytku"	0.0330343926861123
"Z06.ubrania"	0.0327557683935568
"Z12.osoby"	0.0327209403569874
"Z23.przys³ówki_modalne"	0.0317109272964737
"Z17.okreœlenia_miejsca"	0.0220809751850239
"Z13.formu³y"	0.0145232912494558
"Z02.zwierzêta"	0.0144710491946017
"Z11.miejsca_gdzie_mo¿na_pójœæ"	0.0124161950370048
"Z21.zaimki_wskazuj¹ce"	0.0118763604701785
"Z03.pojazdy"	0.00929908576404005
"Z14.przymiotniki"	0.00888114932520679
"Z25.spójniki"	0.00835872877666522
"Z24.przyimki"	0.00534610361340879
"Z01.odg³osy"	0.00484109708315194
"Z15.przys³ówki"	0.00478885502829778
"Z22.pytania"	0.00409229429690901
