"itemNr","freq","category","position","notFitting"
"457",1,"Z16.czasowniki","kupić",0
"183",0.52,"Z07.części_ciała","głowa",0
"539",0.52,"Z16.czasowniki","znaleźć",1
"188",0.4,"Z07.części_ciała","noga",0
"521",0.38,"Z16.czasowniki","wiązać",0
"486",0.32,"Z16.czasowniki","pożyczyć",1
"189",0.3,"Z07.części_ciała","nos",0
"155",0.28,"Z06.ubrania","buty",0
"226",0.27,"Z08.w_domu","stół",0
"597",0.27,"Z19.określenia_miary","każdy",0
"179",0.26,"Z07.części_ciała","brzuch",0
"197",0.24,"Z07.części_ciała","ręka",0
"314",0.24,"Z11.miejsca_gdzie_można_pójść","dom",0
"141",0.23,"Z05.zabawki","klocki",0
"157",0.23,"Z06.ubrania","czapka",0
"190",0.23,"Z07.części_ciała","oko",0
"499",0.23,"Z16.czasowniki","schować",1
"536",0.23,"Z16.czasowniki","złapać",0
"571",0.23,"Z18.określenia_czasu","czasem",0
"163",0.22,"Z06.ubrania","kurtka",0
"202",0.22,"Z07.części_ciała","włosy",0
"216",0.22,"Z08.w_domu","łóżko",0
"220",0.22,"Z08.w_domu","pokój",0
"535",0.22,"Z16.czasowniki","złamać",0
"599",0.22,"Z19.określenia_miary","żaden",0
"148",0.21,"Z05.zabawki","piłka",0
"201",0.21,"Z07.części_ciała","ucho",0
"508",0.21,"Z16.czasowniki","szukać",0
"670",0.21,"Z25.spójniki","żeby",0
"136",0.2,"Z05.zabawki","bajka",0
"206",0.2,"Z08.w_domu","drzwi",0
"424",0.2,"Z16.czasowniki","bawić.się",0
"469",0.2,"Z16.czasowniki","myśleć",0
"308",0.19,"Z10.na_dworze","trawa",0
"523",0.19,"Z16.czasowniki","wiedzieć",0
"537",0.19,"Z16.czasowniki","zmęczyć.się",0
"549",0.19,"Z17.określenia_miejsca","stąd",0
"568",0.19,"Z18.określenia_czasu","kiedyś",0
"570",0.19,"Z18.określenia_czasu","zawsze",0
"598",0.19,"Z19.określenia_miary","niektóry",0
"644",0.19,"Z23.przysłówki_modalne","przecież",0
"91",0.19,"Z04.pokarmy","jajko",0
"250",0.18,"Z09.przedmioty_domowego_użytku","łyżka",0
"580",0.18,"Z19.określenia_miary","dużo",0
"641",0.18,"Z23.przysłówki_modalne","na.pewno",0
"180",0.17,"Z07.części_ciała","buzia",0
"196",0.17,"Z07.części_ciała","pupa",0
"213",0.17,"Z08.w_domu","kuchnia",0
"23",0.17,"Z02.zwierzęta","kot",0
"263",0.17,"Z09.przedmioty_domowego_użytku","pudełko",0
"290",0.17,"Z10.na_dworze","drzewo",0
"294",0.17,"Z10.na_dworze","kamień",0
"350",0.17,"Z12.osoby","pan",0
"464",0.17,"Z16.czasowniki","mieszkać",0
"502",0.17,"Z16.czasowniki","skończyć",0
"503",0.17,"Z16.czasowniki","słyszeć.słuchać",0
"538",0.17,"Z16.czasowniki","znać",0
"56",0.17,"Z03.pojazdy","auto.samochód",0
"614",0.17,"Z20.zaimki_osobowe","wasz",0
"334",0.16,"Z12.osoby","ciocia",0
"615",0.16,"Z20.zaimki_osobowe","ich",0
"643",0.16,"Z23.przysłówki_modalne","pewnie",0
"311",0.15,"Z10.na_dworze","woda",0
"426",0.15,"Z16.czasowniki","biec.biegać",0
"496",0.15,"Z16.czasowniki","rozmawiać",0
"505",0.15,"Z16.czasowniki","sprzątać",0
"569",0.15,"Z18.określenia_czasu","nigdy",0
"608",0.15,"Z20.zaimki_osobowe","sobie",1
"616",0.15,"Z20.zaimki_osobowe","swój",0
"645",0.15,"Z23.przysłówki_modalne","w.ogóle",0
"646",0.15,"Z23.przysłówki_modalne","właśnie",0
"70",0.15,"Z04.pokarmy","banan",0
"90",0.15,"Z04.pokarmy","jabłko",0
"203",0.14,"Z07.części_ciała","ząb",0
"219",0.14,"Z08.w_domu","podłoga",0
"265",0.14,"Z09.przedmioty_domowego_użytku","ręcznik",1
"303",0.14,"Z10.na_dworze","piasek.piaskownica",0
"561",0.14,"Z17.określenia_miejsca","wszędzie",0
"625",0.14,"Z21.zaimki_wskazujące","jakiś",0
"135",0.13,"Z04.pokarmy","zupa",0
"191",0.13,"Z07.części_ciała","palec",0
"266",0.13,"Z09.przedmioty_domowego_użytku","słoik",0
"272",0.13,"Z09.przedmioty_domowego_użytku","sznurek",0
"297",0.13,"Z10.na_dworze","kwiatek",0
"38",0.13,"Z02.zwierzęta","pies",0
"474",0.13,"Z16.czasowniki","oglądać.obejrzeć",0
"483",0.13,"Z16.czasowniki","podobać.się",0
"493",0.13,"Z16.czasowniki","przynieść",0
"546",0.13,"Z17.określenia_miejsca","tu",0
"591",0.13,"Z19.określenia_miary","tylko",0
"607",0.13,"Z20.zaimki_osobowe","się",0
"656",0.13,"Z24.przyimki","przed",0
"224",0.12,"Z08.w_domu","schody",1
"331",0.12,"Z12.osoby","babcia",0
"372",0.12,"Z13.formuły","siusiu.siku.sisi",0
"413",0.12,"Z15.przysłówki","ciemno",0
"475",0.12,"Z16.czasowniki","opowiadać",0
"509",0.12,"Z16.czasowniki","szyć",0
"513",0.12,"Z16.czasowniki","trzymać",0
"524",0.12,"Z16.czasowniki","włożyć.założyć",0
"514",0.11,"Z16.czasowniki","ubrać..się.",0
"515",0.11,"Z16.czasowniki","uciekać",1
"517",0.11,"Z16.czasowniki","umieć",0
"540",0.11,"Z16.czasowniki","zostać",0
"600",0.11,"Z20.zaimki_osobowe","ja..mi..mnie.",0
"142",0.1,"Z05.zabawki","kredki",0
"172",0.1,"Z06.ubrania","spodnie",0
"287",0.1,"Z10.na_dworze","deszcz",0
"337",0.1,"Z12.osoby","dziadek.dziadzio",0
"351",0.1,"Z12.osoby","pani",0
"367",0.1,"Z13.formuły","tak",0
"382",0.1,"Z14.przymiotniki","chory",0
