"Category"	"Percent of items"
"Z16.czasowniki"	0.183582089552239
"Z04.pokarmy"	0.0985074626865672
"Z09.przedmioty_domowego_u¿ytku"	0.0716417910447761
"Z02.zwierzêta"	0.0641791044776119
"Z14.przymiotniki"	0.0492537313432836
"Z08.w_domu"	0.0462686567164179
"Z10.na_dworze"	0.0447761194029851
"Z12.osoby"	0.0402985074626866
"Z07.czêœci_cia³a"	0.0388059701492537
"Z06.ubrania"	0.0358208955223881
"Z19.okreœlenia_miary"	0.0298507462686567
"Z13.formu³y"	0.0283582089552239
"Z05.zabawki"	0.026865671641791
"Z11.miejsca_gdzie_mo¿na_pójœæ"	0.026865671641791
"Z18.okreœlenia_czasu"	0.026865671641791
"Z20.zaimki_osobowe"	0.0253731343283582
"Z17.okreœlenia_miejsca"	0.0238805970149254
"Z24.przyimki"	0.0223880597014925
"Z03.pojazdy"	0.0208955223880597
"Z15.przys³ówki"	0.0194029850746269
"Z22.pytania"	0.0194029850746269
"Z01.odg³osy"	0.017910447761194
"Z21.zaimki_wskazuj¹ce"	0.0134328358208955
"Z25.spójniki"	0.0134328358208955
"Z23.przys³ówki_modalne"	0.0119402985074627
