"itemNr","freq","notFitting","position"
"9",0.03,1,"bam.bum.bęc"
"224",0.19,1,"ketchup"
"265",0.19,1,"pomidor"
"275",0.14,1,"ser"
"313",0.01,1,"kartka.papier"
"315",0.12,1,"kredki"
"339",0.2,1,"prezent"
"456",0.17,1,"plecy"
"461",0.1,1,"ręka"
"463",0.01,1,"serce"
"486",0.34,1,"odkurzacz"
"499",0.25,1,"stołek"
"515",0.17,1,"aparat.kamera"
"539",0.53,1,"nocnik"
"560",0.13,1,"szczotka"
"608",0.17,1,"huśtawka"
"652",0.01,1,"dom"
"665",0,1,"las"
"1",0.03,0,"gę.gę"
"2",0.06,0,"hau.hau"
"3",0.05,0,"ko.ko.ko"
"4",0.08,0,"kwa.kwa"
"5",0.07,0,"miau"
"6",0.06,0,"mee.bee"
"7",0.07,0,"muu..krowa."
"8",0.03,0,"pi.pi.pi.ćwir.ćwir"
"10",0.03,0,"brrum.brrum"
"11",0.04,0,"tik.tak"
"12",0.03,0,"tralala.lalala"
"17",0.01,0,"baran"
"20",0.01,0,"biedronka"
"22",0.18,0,"bocian"
"23",0.19,0,"foka"
"25",0.19,0,"gęś"
"27",0.19,0,"gołąb"
"28",0.09,0,"jeż"
"32",0.04,0,"kaczka"
"35",0,0,"kogut"
"38",0.19,0,"koń"
"42",0.14,0,"kot"
"56",0.19,0,"koza"
"58",0.06,0,"krowa"
"59",0.05,0,"królik"
"61",0.07,0,"kura"
"64",0,0,"kurczątko"
"65",0.11,0,"lew"
"69",0.09,0,"lis"
"70",0.25,0,"małpa"
"71",0.14,0,"miś.niedźwiedź"
"74",0.25,0,"motylek"
"77",0.25,0,"mrówka"
"88",0.05,0,"mucha"
"90",0.27,0,"myszka"
"91",0.25,0,"pająk"
"92",0.1,0,"pies"
"96",0.1,0,"pingwin"
"104",0.01,0,"ptaszek"
"107",0.04,0,"robak"
"111",0.26,0,"ryba"
"113",0.12,0,"słoń"
"117",0.2,0,"sowa"
"122",0.18,0,"ślimak"
"127",0.13,0,"świnka"
"132",0.09,0,"tygrys"
"133",0.15,0,"wąż"
"135",0.26,0,"wiewiórka"
"136",0.26,0,"wilk"
"137",0.15,0,"zając"
"140",0.05,0,"zwierzątko"
"141",0.29,0,"żaba"
"142",0.24,0,"żółw"
"143",0.19,0,"żyrafa"
"144",0.11,0,"auto.samochód"
"146",0.1,0,"autobus"
"148",0.26,0,"ciężarówka"
"150",0.09,0,"helikopter"
"151",0,0,"koparka"
"152",0.11,0,"lokomotywa"
"153",0.19,0,"motor.motocykl"
"154",0.02,0,"pociąg"
"155",0.3,0,"pogotowie.karetka"
"157",0.3,0,"rower"
"163",0.27,0,"samolot"
"164",0.02,0,"statek"
"171",0.21,0,"traktor"
