"itemNr","freq","category","position","notFitting"
"437",1,"Z16.czasowniki","czyścić",0
"510",0.52,"Z16.czasowniki","śmiać.się",0
"178",0.51,"Z07.części_ciała","broda",0
"183",0.38,"Z07.części_ciała","głowa",0
"495",0.38,"Z16.czasowniki","robić",0
"447",0.34,"Z16.czasowniki","gryźć",0
"184",0.29,"Z07.części_ciała","język",0
"567",0.27,"Z18.określenia_czasu","znowu.znów",0
"151",0.26,"Z05.zabawki","smoczek",0
"219",0.25,"Z08.w_domu","podłoga",0
"174",0.22,"Z06.ubrania","sweter",0
"483",0.22,"Z16.czasowniki","podobać.się",0
"509",0.22,"Z16.czasowniki","szyć",0
"569",0.22,"Z18.określenia_czasu","nigdy",0
"185",0.21,"Z07.części_ciała","kolano",0
"192",0.21,"Z07.części_ciała","paznokcie.pazurki",0
"214",0.21,"Z08.w_domu","lodówka",0
"302",0.2,"Z10.na_dworze","ogień",0
"210",0.19,"Z08.w_domu","korytarz.przedpokój",0
"153",0.18,"Z05.zabawki","zabawka",0
"159",0.18,"Z06.ubrania","kalosze.gumowce",0
"197",0.18,"Z07.części_ciała","ręka",0
"298",0.18,"Z10.na_dworze","listek",0
"511",0.18,"Z16.czasowniki","śpiewać",0
"568",0.18,"Z18.określenia_czasu","kiedyś",0
"611",0.18,"Z20.zaimki_osobowe","jego",0
"144",0.17,"Z05.zabawki","lalka",0
"497",0.17,"Z16.czasowniki","rysować",0
"137",0.16,"Z05.zabawki","balonik",0
"255",0.16,"Z09.przedmioty_domowego_użytku","nici",0
"512",0.16,"Z16.czasowniki","tańczyć",0
"522",0.16,"Z16.czasowniki","widzieć.zobaczyć",0
"55",0.16,"Z02.zwierzęta","żyrafa",0
"132",0.15,"Z04.pokarmy","witaminy",0
"196",0.15,"Z07.części_ciała","pupa",0
"22",0.15,"Z02.zwierzęta","koń",0
"284",0.15,"Z10.na_dworze","błoto",0
"405",0.15,"Z14.przymiotniki","zamknięty",0
"479",0.15,"Z16.czasowniki","pić",0
"542",0.15,"Z16.czasowniki","nie.ma.",0
"583",0.15,"Z19.określenia_miary","tyle",0
"207",0.14,"Z08.w_domu","dywan",0
"213",0.14,"Z08.w_domu","kuchnia",0
"473",0.14,"Z16.czasowniki","obudzić..się.",0
"478",0.14,"Z16.czasowniki","patrzeć..patrz.",0
"540",0.14,"Z16.czasowniki","zostać",0
"582",0.14,"Z19.określenia_miary","trochę.troszkę",0
"612",0.14,"Z20.zaimki_osobowe","jej",0
"200",0.13,"Z07.części_ciała","szyja",0
"243",0.13,"Z09.przedmioty_domowego_użytku","klucz",0
"442",0.13,"Z16.czasowniki","drapać",0
"584",0.13,"Z19.określenia_miary","więcej",0
"89",0.13,"Z04.pokarmy","herbata",0
"452",0.12,"Z16.czasowniki","kąpać.się",0
"543",0.12,"Z16.czasowniki",".nie..można",0
"280",0.11,"Z09.przedmioty_domowego_użytku","zdjęcie.fotografia",0
"407",0.11,"Z14.przymiotniki","zepsuty",0
"470",0.11,"Z16.czasowniki","naprawiać.reperować",0
"481",0.11,"Z16.czasowniki","pluć",0
